B 2038031401
F 43938
FS 1289830885442 0
FS 1289830885456 0
FS 1289830885460 320176
CB 1289830885460
CU 1289830885628 320176
CF 1289830885653
FS 1289830885656 0
FS 1289830885660 0
FS 1289830885684 0
FS 1289830885692 18661932
CB 1289830885692
CU 1289830885769 1048576
CU 1289830885816 1048576
CU 1289830885875 1048576
CU 1289830885923 1048576
CU 1289830886002 1048576
CU 1289830886050 1048576
CU 1289830886133 1048576
CU 1289830886181 1048576
CU 1289830886245 1048576
CU 1289830886292 1048576
CU 1289830886348 1048576
CU 1289830886396 1048576
CU 1289830886452 1048576
CU 1289830886500 1048576
CU 1289830886552 1048576
CU 1289830886604 1048576
CU 1289830886692 1048576
CU 1289830886734 836140
CF 1289830886735
FS 1289830886739 0
FS 1289830886743 0
FS 1289830886744 0
FS 1289830886747 0
FS 1289830886749 0
FS 1289830886752 0
FS 1289830886754 0
FS 1289830886757 0
FS 1289830886760 0
FS 1289830886762 0
FS 1289830886764 0
FS 1289830886766 0
FS 1289830886768 938
CB 1289830886768
CU 1289830886781 938
CF 1289830886782
FS 1289830886784 0
FS 1289830886787 0
FS 1289830886788 3
CB 1289830886788
CU 1289830886800 3
CF 1289830886801
FS 1289830886803 0
FS 1289830886804 0
CB 1289830886804
CF 1289830886805
FS 1289830886808 0
CB 1289830886808
CF 1289830886809
FS 1289830886818 0
FS 1289830886820 0
FS 1289830886821 0
FS 1289830886835 0
FS 1289830886838 0
FS 1289830886840 0
FS 1289830886841 0
FS 1289830886844 0
FS 1289830886846 0
FS 1289830886848 0
FS 1289830886849 0
FS 1289830886851 0
FS 1289830886854 0
FS 1289830886856 0
FS 1289830886858 0
FS 1289830886863 0
FS 1289830886865 0
FS 1289830886866 0
CB 1289830886866
CF 1289830886867
FS 1289830886868 0
FS 1289830886870 0
FS 1289830886872 0
FS 1289830886878 0
FS 1289830886880 0
FS 1289830886881 0
FS 1289830886883 0
FS 1289830886884 0
FS 1289830886885 0
FS 1289830886886 0
FS 1289830886887 4
CB 1289830886888
CU 1289830886900 4
CF 1289830886901
FS 1289830886903 0
FS 1289830886904 195
CB 1289830886905
CU 1289830886915 195
CF 1289830886916
FS 1289830886918 2878
CB 1289830886918
CU 1289830886920 2878
CF 1289830886920
FS 1289830886922 433
CB 1289830886922
CU 1289830886922 433
CF 1289830886923
FS 1289830886934 0
FS 1289830886935 0
FS 1289830886937 0
FS 1289830886939 0
CB 1289830886939
CF 1289830886940
FS 1289830886950 0
FS 1289830886951 0
FS 1289830886954 257
CB 1289830886954
CU 1289830886966 257
CF 1289830886968
FS 1289830886970 0
FS 1289830886972 0
FS 1289830886975 0
FS 1289830886985 0
CB 1289830886985
CF 1289830886986
FS 1289830886987 0
CB 1289830886988
CF 1289830886988
FS 1289830886990 0
FS 1289830886991 0
FS 1289830887000 0
FS 1289830887003 0
FS 1289830887005 0
FS 1289830887006 0
FS 1289830887008 0
FS 1289830887017 0
FS 1289830887019 0
FS 1289830887021 0
FS 1289830887022 0
FS 1289830887029 0
FS 1289830887036 0
FS 1289830887041 0
FS 1289830887042 0
FS 1289830887044 0
FS 1289830887046 0
FS 1289830887048 0
FS 1289830887052 0
FS 1289830887054 0
FS 1289830887056 0
FS 1289830887057 0
FS 1289830887061 0
FS 1289830887070 0
FS 1289830887073 0
FS 1289830887075 0
FS 1289830887081 0
FS 1289830887085 43
CB 1289830887085
CU 1289830887092 43
CF 1289830887092
FS 1289830887094 8665
CB 1289830887094
CU 1289830887095 8665
CF 1289830887097
FS 1289830887143 908
CB 1289830887143
CU 1289830887162 908
CF 1289830887166
FS 1289830887169 24631
CB 1289830887169
CU 1289830887279 24631
CF 1289830887279
FS 1289830887285 150
CB 1289830887285
CU 1289830887299 150
CF 1289830887300
FS 1289830887307 5678
CB 1289830887308
CU 1289830887310 5678
CF 1289830887310
FS 1289830887328 1674
CB 1289830887328
CU 1289830887329 1674
CF 1289830887330
FS 1289830887335 87
CB 1289830887336
CU 1289830887352 87
CF 1289830887354
FS 1289830887366 236
CB 1289830887367
CU 1289830887376 236
CF 1289830887377
FS 1289830887384 0
CB 1289830887385
CF 1289830887386
FS 1289830887401 0
FS 1289830887419 0
FS 1289830887436 0
FS 1289830887452 3927
CB 1289830887452
CU 1289830887453 3927
CF 1289830887453
FS 1289830887468 0
FS 1289830887484 235
CB 1289830887485
CU 1289830887486 235
CF 1289830887486
FS 1289830887488 132
CB 1289830887488
CU 1289830887488 132
CF 1289830887489
FS 1289830887501 3667
CB 1289830887502
CU 1289830887526 3667
CF 1289830887526
FS 1289830887533 5766
CB 1289830887533
CU 1289830887535 5766
CF 1289830887536
FS 1289830887551 1939
CB 1289830887551
CU 1289830887552 1939
CF 1289830887553
FS 1289830887568 1660
CB 1289830887569
CU 1289830887569 1660
CF 1289830887570
FS 1289830887585 971
CB 1289830887585
CU 1289830887587 971
CF 1289830887587
FS 1289830887602 677959
CB 1289830887603
CU 1289830887634 677959
CF 1289830887636
FS 1289830887638 179
CB 1289830887638
CU 1289830887639 179
CF 1289830887639
FS 1289830887652 772
CB 1289830887652
CU 1289830887653 772
CF 1289830887653
FS 1289830887655 1441
CB 1289830887656
CU 1289830887656 1441
CF 1289830887657
FS 1289830887669 0
CB 1289830887669
CF 1289830887669
FS 1289830887672 61932
CB 1289830887672
CU 1289830887678 61932
CF 1289830887679
FS 1289830887685 66444
CB 1289830887685
CU 1289830887702 66444
CF 1289830887703
FS 1289830887705 4598
CB 1289830887705
CU 1289830887719 4598
CF 1289830887720
FS 1289830887797 0
FS 1289830887818 0
FS 1289830887836 0
FS 1289830887852 14003
CB 1289830887852
CU 1289830887854 14003
CF 1289830887854
FS 1289830887869 3685
CB 1289830887870
CU 1289830887871 3685
CF 1289830887871
FS 1289830887888 0
FS 1289830887902 0
FS 1289830887904 2077
CB 1289830887904
CU 1289830887906 2077
CF 1289830887908
FS 1289830887922 0
FS 1289830887936 0
FS 1289830887937 0
FS 1289830887939 329
CB 1289830887940
CU 1289830887941 329
CF 1289830887942
FS 1289830887952 322
CB 1289830887953
CU 1289830887954 322
CF 1289830887954
FS 1289830887956 334
CB 1289830887956
CU 1289830887956 334
CF 1289830887957
FS 1289830887971 335
CB 1289830887971
CU 1289830887972 335
CF 1289830887973
FS 1289830887986 323
CB 1289830887986
CU 1289830887987 323
CF 1289830887988
FS 1289830887990 322
CB 1289830887990
CU 1289830887990 322
CF 1289830887991
FS 1289830888003 324
CB 1289830888003
CU 1289830888004 324
CF 1289830888005
FS 1289830888007 326
CB 1289830888007
CU 1289830888007 326
CF 1289830888008
FS 1289830888020 0
FS 1289830888021 570
CB 1289830888021
CU 1289830888022 570
CF 1289830888023
FS 1289830888025 0
FS 1289830888038 585
CB 1289830888038
CU 1289830888039 585
CF 1289830888039
FS 1289830888041 583
CB 1289830888042
CU 1289830888042 583
CF 1289830888043
FS 1289830888053 0
FS 1289830888055 0
FS 1289830888056 553
CB 1289830888056
CU 1289830888057 553
CF 1289830888057
FS 1289830888163 577
CB 1289830888163
CU 1289830888164 577
CF 1289830888165
FS 1289830888178 743
